"filename", "language", "C++", "JSON", "CMake", "Swift", "Dart", "YAML", "HTML", "XML", "Markdown", "Java Properties", "comment", "blank", "total"
"c:\hamaltekk\linux\runner\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\hamaltekk\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\hamaltekk\linux\runner\my_application.cc", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 149
"c:\hamaltekk\linux\runner\my_application.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"c:\hamaltekk\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\hamaltekk\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\hamaltekk\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\hamaltekk\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\hamaltekk\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\hamaltekk\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\hamaltekk\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 53, 15, 109
"c:\hamaltekk\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\hamaltekk\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\hamaltekk\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\hamaltekk\windows\CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\hamaltekk\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\hamaltekk\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\hamaltekk\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\hamaltekk\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\hamaltekk\windows\runner\CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\hamaltekk\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\hamaltekk\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\hamaltekk\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\hamaltekk\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\hamaltekk\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\hamaltekk\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\hamaltekk\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\hamaltekk\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 580, 278, 471, 71, 9116, 44, 19, 470, 13, 7, 537, 1053, 12659
